name,rating,type_of,price,comments
"Raid MAX Perimeter Protection, 1 Gallon",4.5067,"Pest Bait, Traps & Killers",17.58,I have used this product for 2 weeks spraying every other day and it doesn't kill the sugar ants. Actually It doesn't Phase them at all. It's like water. No smell at all. The spray can Raid ant & Roach kills on contact. It just doesn't last long.
Spider-Man: No Way Home (DVD),3.8333,Movies,17.96,It doesn't play on my new dvd player
Spider-Man: Far From Home / Spider-Man: Homecoming (Blu-Ray),4.8,Movies,18.98,
"Nature-Cide All Purpose Insect Repellent. All Natural Roach Killer, Spider, Cockroach, Mosquito and Ant Spray to Keep Your Home Safe. Kills on Contact. No Strong Odor. 32 oz",3,"Pest Bait, Traps & Killers",19.95,
"Tomcat Household Pest Glue Boards, for Roaches, Insects, Scorpions, and Spiders 3 Pack",4.9333,"Pest Bait, Traps & Killers",20.65,
Spider-Man: No Way Home (Blu-Ray + DVD),4.6207,Movies,22.96,I've seen the movie in the theater when it first came out. I needed it for my collection. If it wasn't for the fact that walmart.com charged my card twice I would order from here again
"Marvel Spider-Man Super Web Slinger Role-Play, With Web Fluid, Shoots Webs or Water",3.1429,Action Figures,16.21,"DO NOT BUY! This is the worst present possible. Sprayed on my celing.... and it STAINS! Daughter got it dor Christmas, does not spray in a string, it comes out in a blob that goes everywhere. STAINS ceiling and walls. DO NOT PURCHASE!"
"EcoLogic Home Insect Control 64 Ounces, Ready-To-Use Spray, Kills Ants, Cockroaches And Spiders",4.6304,"Pest Bait, Traps & Killers",24.99,"[This review was collected as part of a promotion.] I was so excited to get this product, since we live in the middle of a National Forrest and have sooo many bugs in the Spring/summer months. So far we have not noticed any difference in the amount of unwanted flying and crawling critters. It may not be best suited for areas where there are an over abundance, bit may do well in a suburban/city area."
Spider-Man: No Way Home (4K Ultra HD + Blu-ray),5,Movies,25.49,
Spider-Man: 6-Film Collection (DVD),4.625,Movies,26.99,
"BugMD Termination Station Trap - Combination of Light, Heat and Glue - Pests, Bugs, Ticks, Spiders, Moths, Flea Killer - Bed Bug Traps for Inside Your Home with Refills - Flea Bombs Fogger for Home",1.5,"Pest Bait, Traps & Killers",29.97,
Spider-Man: Far From Home / Spider-Man: Homecoming / Spider-Man: No Way Home (Blu-ray),4.8333,Movies,28.97,
